time	V(compout)
0.000000000000000e+00	1.417084e-01
2.811600000000000e-09	1.417084e-01
2.812780427433185e-09	1.417084e-01
2.815141282299554e-09	1.417084e-01
2.816687033443727e-09	1.417084e-01
2.818142879929711e-09	1.417084e-01
2.821054572901679e-09	1.417084e-01
2.826877958845616e-09	1.417084e-01
2.831600000000000e-09	1.417084e-01
2.832520076826177e-09	1.417084e-01
2.834360230478530e-09	1.417084e-01
2.838040537783237e-09	1.417084e-01
2.845401152392651e-09	1.417084e-01
2.860122381611479e-09	1.417084e-01
2.861300000000000e-09	1.417084e-01
2.862870000000000e-09	1.417084e-01
2.866010000000000e-09	1.417084e-01
2.872290000000000e-09	1.417084e-01
2.877000000000000e-09	1.417084e-01
2.880768000000000e-09	1.417084e-01
2.885792000000000e-09	1.417084e-01
2.892600000000000e-09	1.417084e-01
2.895614400000000e-09	1.417084e-01
2.899633600000000e-09	1.417085e-01
2.903400000000000e-09	1.417085e-01
2.905811520000000e-09	1.417085e-01
2.909026880000000e-09	1.417085e-01
2.915457600000000e-09	1.417085e-01
2.917100000000000e-09	1.417085e-01
2.917580000000000e-09	1.417085e-01
2.918540000000000e-09	1.417085e-01
2.920460000000000e-09	1.417085e-01
2.921900000000000e-09	1.417085e-01
2.923052000000000e-09	1.417086e-01
2.924588000000000e-09	1.417086e-01
2.927660000000000e-09	1.417086e-01
2.933804000000000e-09	1.417086e-01
2.937300000000000e-09	1.417086e-01
2.938528800000000e-09	1.417087e-01
2.940986400000000e-09	1.417087e-01
2.945901600000000e-09	1.417087e-01
2.955731999999999e-09	1.417088e-01
2.957300000000000e-09	1.417089e-01
2.971062560000000e-09	1.417091e-01
2.986791199999999e-09	1.417094e-01
3.018248479999998e-09	1.417102e-01
3.081163039999995e-09	1.417126e-01
3.206992159999991e-09	1.417204e-01
3.374761871880131e-09	1.417374e-01
3.565112200232035e-09	1.417775e-01
3.782494972949313e-09	1.418973e-01
4.023530967058913e-09	1.421942e-01
4.321661262286455e-09	1.432214e-01
4.694300892741204e-09	1.563572e-01
4.849334664873417e-09	1.889112e-01
4.980366214615688e-09	2.576813e-01
5.118305190440825e-09	3.824306e-01
5.314762471686743e-09	6.615618e-01
5.625778038024855e-09	1.285266e+00
5.917840921246795e-09	1.994458e+00
6.066887438965566e-09	2.359979e+00
6.195255889174476e-09	2.619613e+00
6.370180958357473e-09	2.869845e+00
6.534926545792140e-09	3.019478e+00
6.658515220725744e-09	3.082667e+00
6.780189923948714e-09	3.115229e+00
6.917054103894624e-09	3.133814e+00
7.048065408668650e-09	3.142230e+00
7.205083595387132e-09	3.146746e+00
7.661393190602210e-09	3.151358e+00
8.049147306942580e-09	3.153074e+00
8.785576099396582e-09	3.154904e+00
9.621966368520802e-09	3.155846e+00
1.062196636852080e-08	3.156129e+00
1.162196636852080e-08	3.156148e+00
1.262196636852080e-08	3.156146e+00
