tof,pulse_t2,PT2 > 100,PT2 <100,Total counts,Count >= 100,Count < 100,Check,,,,,,,,
2830,4095,4095,,95498,26790,68708,95498,,,,,,,,
180,2,,2,,,,,,,,,,,,
-1190,2,,2,,,,,,,,,,,,
-1030,0,,0,,,,,,,,,,,,
10,2,,2,,,,,,,,,,,,
3200,0,,0,,,,,,,,,,,,
-2160,2,,2,,,,,,,,,,,,
880,45,,45,,,,,,,,,,,,
1250,3,,3,,,,,,,,,,,,
2430,2,,2,,,,,,,,,,,,
-330,2,,2,,,,,,,,,,,,
2510,2,,2,,,,,,,,,,,,
-2390,3,,3,,,,,,,,,,,,
1190,3,,3,,,,,,,,,,,,
-1130,2,,2,,,,,,,,,,,,
2240,1068,1068,,,,,,,,,,,,,
1190,2,,2,,,,,,,,,,,,
2100,19,,19,,,,,,,,,,,,
1600,102,102,,,,,,,,,,,,,
2930,0,,0,,,,,,,,,,,,
2420,1139,1139,,,,,,,,,,,,,
1190,669,669,,,,,,,,,,,,,
410,1015,1015,,,,,,,,,,,,,
3020,2,,2,,,,,,,,,,,,
1460,2,,2,,,,,,,,,,,,
5620,3,,3,,,,,,,,,,,,
2930,0,,0,,,,,,,,,,,,
2470,1,,1,,,,,,,,,,,,
1460,881,881,,,,,,,,,,,,,
3390,906,906,,,,,,,,,,,,,
3160,1,,1,,,,,,,,,,,,
2430,1147,1147,,,,,,,,,,,,,
-240,2,,2,,,,,,,,,,,,
1280,1,,1,,,,,,,,,,,,
3700,750,750,,,,,,,,,,,,,
2880,2,,2,,,,,,,,,,,,
3250,718,718,,,,,,,,,,,,,
580,2,,2,,,,,,,,,,,,
2120,369,369,,,,,,,,,,,,,
1050,575,575,,,,,,,,,,,,,
1700,2,,2,,,,,,,,,,,,
3660,2,,2,,,,,,,,,,,,
-290,165,165,,,,,,,,,,,,,
-1080,2,,2,,,,,,,,,,,,
3440,317,317,,,,,,,,,,,,,
1370,67,,67,,,,,,,,,,,,
1280,27,,27,,,,,,,,,,,,
1790,1086,1086,,,,,,,,,,,,,
-1450,3,,3,,,,,,,,,,,,
1460,1122,1122,,,,,,,,,,,,,
-1300,0,,0,,,,,,,,,,,,
1240,3,,3,,,,,,,,,,,,
1140,0,,0,,,,,,,,,,,,
510,15,,15,,,,,,,,,,,,
5260,161,161,,,,,,,,,,,,,
-90,3,,3,,,,,,,,,,,,
2440,945,945,,,,,,,,,,,,,
1240,2,,2,,,,,,,,,,,,
1280,563,563,,,,,,,,,,,,,
1150,1128,1128,,,,,,,,,,,,,
1470,0,,0,,,,,,,,,,,,
-1840,2,,2,,,,,,,,,,,,
-6090,2,,2,,,,,,,,,,,,
1590,2,,2,,,,,,,,,,,,
1140,2,,2,,,,,,,,,,,,
2250,1055,1055,,,,,,,,,,,,,
680,809,809,,,,,,,,,,,,,
990,1,,1,,,,,,,,,,,,
3800,0,,0,,,,,,,,,,,,
327670,2,,2,,,,,,,,,,,,
2380,2,,2,,,,,,,,,,,,
240,2,,2,,,,,,,,,,,,
-10,1220,1220,,,,,,,,,,,,,
3390,45,,45,,,,,,,,,,,,
4860,1,,1,,,,,,,,,,,,
-150,1267,1267,,,,,,,,,,,,,
3210,625,625,,,,,,,,,,,,,
3710,2,,2,,,,,,,,,,,,
1410,1,,1,,,,,,,,,,,,
220,2,,2,,,,,,,,,,,,
1330,916,916,,,,,,,,,,,,,
220,2,,2,,,,,,,,,,,,
-560,2,,2,,,,,,,,,,,,
1200,1522,1522,,,,,,,,,,,,,
-1310,764,764,,,,,,,,,,,,,
-670,2,,2,,,,,,,,,,,,
1740,50,,50,,,,,,,,,,,,
1700,0,,0,,,,,,,,,,,,
910,21,,21,,,,,,,,,,,,
430,2,,2,,,,,,,,,,,,
-730,103,103,,,,,,,,,,,,,
1560,2,,2,,,,,,,,,,,,
2700,7,,7,,,,,,,,,,,,
2340,381,381,,,,,,,,,,,,,
-550,0,,0,,,,,,,,,,,,
3620,0,,0,,,,,,,,,,,,
3070,202,202,,,,,,,,,,,,,
1140,826,826,,,,,,,,,,,,,
-680,2,,2,,,,,,,,,,,,
1560,2,,2,,,,,,,,,,,,
2240,51,,51,,,,,,,,,,,,
1070,1206,1206,,,,,,,,,,,,,
-1570,927,927,,,,,,,,,,,,,
2090,129,129,,,,,,,,,,,,,
1830,852,852,,,,,,,,,,,,,
1190,835,835,,,,,,,,,,,,,
5040,2,,2,,,,,,,,,,,,
-790,47,,47,,,,,,,,,,,,
-2040,293,293,,,,,,,,,,,,,
2870,579,579,,,,,,,,,,,,,
870,159,159,,,,,,,,,,,,,
-1990,2,,2,,,,,,,,,,,,
-140,2,,2,,,,,,,,,,,,
3710,0,,0,,,,,,,,,,,,
2060,339,339,,,,,,,,,,,,,
-170,403,403,,,,,,,,,,,,,
1540,374,374,,,,,,,,,,,,,
2750,1,,1,,,,,,,,,,,,
50,2,,2,,,,,,,,,,,,
1340,49,,49,,,,,,,,,,,,
600,855,855,,,,,,,,,,,,,
1690,124,124,,,,,,,,,,,,,
1350,0,,0,,,,,,,,,,,,
4120,0,,0,,,,,,,,,,,,
5450,3,,3,,,,,,,,,,,,
4030,109,109,,,,,,,,,,,,,
1330,3,,3,,,,,,,,,,,,
-2150,0,,0,,,,,,,,,,,,
3840,925,925,,,,,,,,,,,,,
3170,0,,0,,,,,,,,,,,,
1100,11,,11,,,,,,,,,,,,
1290,278,278,,,,,,,,,,,,,
1930,1300,1300,,,,,,,,,,,,,
2430,939,939,,,,,,,,,,,,,
-40,3,,3,,,,,,,,,,,,
1560,3,,3,,,,,,,,,,,,
-3730,576,576,,,,,,,,,,,,,
110,0,,0,,,,,,,,,,,,
2520,3,,3,,,,,,,,,,,,
-1780,1260,1260,,,,,,,,,,,,,
1470,2,,2,,,,,,,,,,,,
2570,3,,3,,,,,,,,,,,,
-1120,227,227,,,,,,,,,,,,,
3890,2,,2,,,,,,,,,,,,
2290,0,,0,,,,,,,,,,,,
-2110,299,299,,,,,,,,,,,,,
250,938,938,,,,,,,,,,,,,
100,560,560,,,,,,,,,,,,,
940,2,,2,,,,,,,,,,,,
750,974,974,,,,,,,,,,,,,
1030,2,,2,,,,,,,,,,,,
40,23,,23,,,,,,,,,,,,
-30,584,584,,,,,,,,,,,,,
1290,1514,1514,,,,,,,,,,,,,
540,2,,2,,,,,,,,,,,,
1320,0,,0,,,,,,,,,,,,
820,1,,1,,,,,,,,,,,,
2750,2,,2,,,,,,,,,,,,
870,0,,0,,,,,,,,,,,,
1330,0,,0,,,,,,,,,,,,
1470,2,,2,,,,,,,,,,,,
-420,2,,2,,,,,,,,,,,,
1690,2,,2,,,,,,,,,,,,
1440,2,,2,,,,,,,,,,,,
-200,3,,3,,,,,,,,,,,,
1150,436,436,,,,,,,,,,,,,
1780,1171,1171,,,,,,,,,,,,,
3350,1194,1194,,,,,,,,,,,,,
-2280,3,,3,,,,,,,,,,,,
2700,125,125,,,,,,,,,,,,,
3160,29,,29,,,,,,,,,,,,
-1660,2,,2,,,,,,,,,,,,
3320,1,,1,,,,,,,,,,,,
1050,2,,2,,,,,,,,,,,,
2340,2,,2,,,,,,,,,,,,
1510,786,786,,,,,,,,,,,,,
710,2,,2,,,,,,,,,,,,
-1060,3,,3,,,,,,,,,,,,
-1030,1196,1196,,,,,,,,,,,,,
-460,2,,2,,,,,,,,,,,,
3340,136,136,,,,,,,,,,,,,
3250,122,122,,,,,,,,,,,,,
1380,515,515,,,,,,,,,,,,,
2430,326,326,,,,,,,,,,,,,
1090,432,432,,,,,,,,,,,,,
980,2,,2,,,,,,,,,,,,
-330,195,195,,,,,,,,,,,,,
2020,34,,34,,,,,,,,,,,,
-1180,2,,2,,,,,,,,,,,,
3710,693,693,,,,,,,,,,,,,
-410,714,714,,,,,,,,,,,,,
2760,3,,3,,,,,,,,,,,,
600,2,,2,,,,,,,,,,,,
1060,2,,2,,,,,,,,,,,,
1930,1,,1,,,,,,,,,,,,
-1050,5,,5,,,,,,,,,,,,
1140,2,,2,,,,,,,,,,,,
1160,2,,2,,,,,,,,,,,,
2060,2,,2,,,,,,,,,,,,
1380,3,,3,,,,,,,,,,,,
-2830,2,,2,,,,,,,,,,,,
2300,2,,2,,,,,,,,,,,,
1010,1,,1,,,,,,,,,,,,
1420,0,,0,,,,,,,,,,,,
-1050,2,,2,,,,,,,,,,,,
-2050,2,,2,,,,,,,,,,,,
1520,3,,3,,,,,,,,,,,,
2760,3,,3,,,,,,,,,,,,
100,936,936,,,,,,,,,,,,,
3530,140,140,,,,,,,,,,,,,
-2330,3,,3,,,,,,,,,,,,
2300,393,393,,,,,,,,,,,,,
3190,3,,3,,,,,,,,,,,,
-1200,855,855,,,,,,,,,,,,,
3800,0,,0,,,,,,,,,,,,
2170,674,674,,,,,,,,,,,,,
1190,2,,2,,,,,,,,,,,,
970,2,,2,,,,,,,,,,,,
2980,1139,1139,,,,,,,,,,,,,
200,905,905,,,,,,,,,,,,,
160,2,,2,,,,,,,,,,,,
3170,580,580,,,,,,,,,,,,,
2250,2,,2,,,,,,,,,,,,
1740,2,,2,,,,,,,,,,,,
3710,4050,4050,,,,,,,,,,,,,
-860,628,628,,,,,,,,,,,,,
960,0,,0,,,,,,,,,,,,
220,3,,3,,,,,,,,,,,,
1970,2,,2,,,,,,,,,,,,
1060,2,,2,,,,,,,,,,,,
550,3,,3,,,,,,,,,,,,
