CMDLINE python test_writer_multi_mem.py
MEM 3.425781 1705477198.4491
MEM 23.066406 1705477198.5496
MEM 28.753906 1705477198.6501
MEM 32.390625 1705477198.7511
MEM 34.175781 1705477198.8515
MEM 41.621094 1705477198.9520
MEM 47.453125 1705477199.0523
MEM 51.136719 1705477199.1526
MEM 61.753906 1705477199.2530
MEM 71.300781 1705477199.3536
MEM 72.167969 1705477199.4540
MEM 72.167969 1705477199.5543
MEM 72.167969 1705477199.6546
MEM 72.167969 1705477199.7550
MEM 72.167969 1705477199.8553
MEM 72.167969 1705477199.9557
MEM 72.167969 1705477200.0561
MEM 72.167969 1705477200.1564
MEM 72.167969 1705477200.2567
MEM 72.167969 1705477200.3571
MEM 72.167969 1705477200.4573
MEM 72.167969 1705477200.5577
MEM 72.167969 1705477200.6580
MEM 72.167969 1705477200.7583
MEM 72.167969 1705477200.8586
MEM 72.167969 1705477200.9590
MEM 72.167969 1705477201.0593
MEM 72.167969 1705477201.1597
MEM 72.167969 1705477201.2601
MEM 72.167969 1705477201.3605
MEM 72.167969 1705477201.4608
MEM 72.167969 1705477201.5611
MEM 72.167969 1705477201.6615
MEM 72.167969 1705477201.7618
MEM 72.167969 1705477201.8622
MEM 72.167969 1705477201.9625
MEM 72.167969 1705477202.0628
MEM 72.167969 1705477202.1633
MEM 72.167969 1705477202.2636
MEM 72.167969 1705477202.3640
MEM 72.167969 1705477202.4643
MEM 72.167969 1705477202.5646
MEM 72.167969 1705477202.6650
MEM 72.167969 1705477202.7655
MEM 72.167969 1705477202.8658
MEM 72.167969 1705477202.9662
MEM 72.167969 1705477203.0666
MEM 72.167969 1705477203.1670
MEM 72.167969 1705477203.2673
MEM 72.167969 1705477203.3677
MEM 72.167969 1705477203.4680
MEM 72.304688 1705477203.5685
MEM 72.304688 1705477203.6689
MEM 72.304688 1705477203.7693
MEM 72.304688 1705477203.8696
MEM 72.304688 1705477203.9700
MEM 72.304688 1705477204.0704
MEM 72.304688 1705477204.1707
MEM 72.304688 1705477204.2711
MEM 72.304688 1705477204.3715
MEM 72.304688 1705477204.4719
MEM 72.304688 1705477204.5723
MEM 72.304688 1705477204.6729
MEM 72.304688 1705477204.7733
MEM 72.304688 1705477204.8738
MEM 72.304688 1705477204.9742
MEM 72.304688 1705477205.0746
MEM 72.304688 1705477205.1750
MEM 72.304688 1705477205.2754
MEM 72.304688 1705477205.3757
MEM 72.304688 1705477205.4760
MEM 72.304688 1705477205.5764
MEM 72.304688 1705477205.6768
MEM 72.304688 1705477205.7772
MEM 72.304688 1705477205.8775
MEM 72.304688 1705477205.9779
MEM 72.304688 1705477206.0783
MEM 72.304688 1705477206.1787
MEM 72.656250 1705477206.2791
