CMDLINE /home/drixit/2022Projects/Monte-Python/poetryEnv/.venv/bin/python mainTof.py
MEM 3.414062 1694733796.3284
MEM 20.144531 1694733796.4288
MEM 29.324219 1694733796.5293
MEM 38.332031 1694733796.6297
MEM 51.800781 1694733796.7310
MEM 61.320312 1694733796.8314
MEM 78.175781 1694733796.9317
MEM 88.449219 1694733797.0322
MEM 86.515625 1694733797.1326
MEM 86.515625 1694733797.2331
MEM 88.796875 1694733797.3334
MEM 89.566406 1694733797.4339
MEM 89.566406 1694733797.5345
MEM 89.566406 1694733797.6353
MEM 89.566406 1694733797.7454
MEM 89.566406 1694733797.8471
MEM 89.566406 1694733797.9479
MEM 89.566406 1694733798.0521
MEM 89.566406 1694733798.1528
MEM 89.566406 1694733798.2543
MEM 89.566406 1694733798.3548
MEM 89.566406 1694733798.4552
MEM 89.566406 1694733798.5555
MEM 89.566406 1694733798.6559
MEM 89.566406 1694733798.7568
MEM 89.566406 1694733798.8572
MEM 89.566406 1694733798.9577
MEM 89.566406 1694733799.0581
MEM 89.566406 1694733799.1587
MEM 89.566406 1694733799.2616
MEM 89.742188 1694733799.3620
MEM 89.742188 1694733799.4625
MEM 89.921875 1694733799.5629
MEM 89.921875 1694733799.6655
MEM 89.921875 1694733799.7659
MEM 90.179688 1694733799.8663
MEM 90.437500 1694733799.9668
MEM 90.437500 1694733800.0673
MEM 90.437500 1694733800.1677
MEM 90.437500 1694733800.2683
MEM 90.437500 1694733800.3755
MEM 90.437500 1694733800.4783
MEM 90.437500 1694733800.5795
MEM 90.437500 1694733800.6800
MEM 90.437500 1694733800.7805
MEM 90.437500 1694733800.8814
MEM 90.437500 1694733800.9910
MEM 90.437500 1694733801.0948
MEM 90.437500 1694733801.2001
MEM 90.437500 1694733801.3006
MEM 90.437500 1694733801.4010
MEM 90.437500 1694733801.5094
MEM 90.437500 1694733801.6099
MEM 90.437500 1694733801.7107
MEM 90.437500 1694733801.8122
MEM 90.437500 1694733801.9137
MEM 90.437500 1694733802.0142
MEM 90.437500 1694733802.1146
MEM 90.437500 1694733802.2150
MEM 90.437500 1694733802.3155
MEM 90.437500 1694733802.4159
MEM 90.539062 1694733802.5163
MEM 90.867188 1694733802.6167
MEM 91.011719 1694733802.7248
MEM 91.011719 1694733802.8258
MEM 91.011719 1694733802.9262
MEM 91.316406 1694733803.0267
MEM 91.554688 1694733803.1271
MEM 91.554688 1694733803.2306
MEM 91.554688 1694733803.3369
MEM 91.554688 1694733803.4373
MEM 91.554688 1694733803.5379
MEM 91.554688 1694733803.6439
MEM 91.554688 1694733803.7444
MEM 91.554688 1694733803.8462
MEM 91.554688 1694733803.9466
MEM 91.554688 1694733804.0471
MEM 91.554688 1694733804.1513
