time	V(compout)
0.000000000000000e+00	1.417127e-01
6.612000000000001e-10	1.417127e-01
6.622000000000001e-10	1.417127e-01
6.642000000000000e-10	1.417127e-01
6.682000000000000e-10	1.417127e-01
6.712000000000000e-10	1.417127e-01
6.720000000000001e-10	1.417127e-01
6.736000000000000e-10	1.417127e-01
6.768000000000000e-10	1.417127e-01
6.812000000000000e-10	1.417127e-01
6.829700000000000e-10	1.417127e-01
6.853299999999999e-10	1.417127e-01
6.871000000000000e-10	1.417127e-01
6.875720000000001e-10	1.417127e-01
6.885160000000001e-10	1.417127e-01
6.904040000000002e-10	1.417127e-01
6.941800000000002e-10	1.417127e-01
6.971000000000000e-10	1.417127e-01
6.976938012980240e-10	1.417127e-01
6.988814038940720e-10	1.417127e-01
7.012566090861680e-10	1.417127e-01
7.058603604237508e-10	1.417127e-01
7.071000000000001e-10	1.417127e-01
7.085297932547706e-10	1.417127e-01
7.104361842611311e-10	1.417127e-01
7.142489662738523e-10	1.417127e-01
7.218745302992947e-10	1.417128e-01
7.336910553390895e-10	1.417129e-01
7.455000000000001e-10	1.417130e-01
7.465000000000001e-10	1.417130e-01
7.485000000000001e-10	1.417130e-01
7.525000000000000e-10	1.417130e-01
7.555000000000000e-10	1.417131e-01
7.561017716197078e-10	1.417131e-01
7.573053148591231e-10	1.417131e-01
7.597124013379540e-10	1.417131e-01
7.638716910290688e-10	1.417132e-01
7.655000000000000e-10	1.417132e-01
7.674052410284924e-10	1.417132e-01
7.699455623998157e-10	1.417133e-01
7.750262051424622e-10	1.417134e-01
7.851874906277553e-10	1.417136e-01
8.003040686378522e-10	1.417139e-01
8.163901242421305e-10	1.417143e-01
8.369027228180550e-10	1.417150e-01
8.619368301677898e-10	1.417159e-01
8.995613902952327e-10	1.417176e-01
9.538867216565993e-10	1.417207e-01
1.011917898127690e-09	1.417248e-01
1.065254668756025e-09	1.417295e-01
1.127593192499433e-09	1.417363e-01
1.198461443690372e-09	1.417459e-01
1.271519256886016e-09	1.417588e-01
1.354401728288225e-09	1.417796e-01
1.445671679400144e-09	1.418169e-01
1.552704158125383e-09	1.418931e-01
1.676040225343537e-09	1.420322e-01
1.824300324021208e-09	1.422653e-01
2.002325293213388e-09	1.426425e-01
2.225486857910030e-09	1.436133e-01
2.423450103560422e-09	1.500944e-01
2.532829313076175e-09	1.683444e-01
2.644082933465441e-09	2.127069e-01
2.760306042202037e-09	2.913375e-01
2.924966932509927e-09	4.669637e-01
3.254288713125707e-09	9.448393e-01
3.460418148510051e-09	1.286731e+00
