time	V(compout)	V(input)	V(out)	V(n003)	Ix(U5:In+)
0.000000000000000e+00	1.417067e-01	2.902744e-04	-9.488106e-07	-1.000000e-02	-3.474190e-06
4.290000000000000e-10	1.417067e-01	2.902744e-04	-9.488106e-07	-1.000000e-02	-3.474190e-06
4.290500000000000e-10	1.417067e-01	-1.678009e-04	-9.488106e-07	-1.000000e-02	-3.434632e-06
4.291500000000000e-10	1.417067e-01	-2.109358e-03	-9.488106e-07	-1.000000e-02	-3.256078e-06
4.293500000000000e-10	1.417067e-01	-9.285980e-03	-9.488106e-07	-1.000000e-02	-2.569216e-06
4.295000000000000e-10	1.417067e-01	-1.696084e-02	-9.488106e-07	-1.000000e-02	-1.822019e-06
4.295400000000000e-10	1.417067e-01	-1.938327e-02	-9.488106e-07	-1.000000e-02	-1.611141e-06
4.296200000000000e-10	1.417067e-01	-2.355484e-02	-9.488106e-07	-1.000000e-02	-1.284018e-06
4.297800000000000e-10	1.417067e-01	-2.917942e-02	-9.488106e-07	-1.000000e-02	-9.056783e-07
4.300000000000000e-10	1.417067e-01	-3.339052e-02	-9.488106e-07	-1.000000e-02	-6.673682e-07
4.302880000000000e-10	1.417067e-01	-3.291819e-02	-9.488106e-07	-1.000000e-02	-6.896687e-07
4.305760000000000e-10	1.417067e-01	-3.245404e-02	-9.488106e-07	-1.000000e-02	-7.122541e-07
4.308640000000000e-10	1.417067e-01	-3.199805e-02	-9.488106e-07	-1.000000e-02	-7.351245e-07
4.311520000000000e-10	1.417067e-01	-3.155023e-02	-9.488106e-07	-1.000000e-02	-7.582797e-07
4.314400000000000e-10	1.417067e-01	-3.111058e-02	-9.488106e-07	-1.000000e-02	-7.817197e-07
4.317280000000001e-10	1.417067e-01	-3.067910e-02	-9.488106e-07	-1.000000e-02	-8.054447e-07
4.320160000000000e-10	1.417067e-01	-3.025578e-02	-9.488106e-07	-1.000000e-02	-8.294546e-07
4.340640000000000e-10	1.417067e-01	-2.732538e-02	-9.488106e-07	-1.000000e-02	-1.002037e-06
4.345000000000000e-10	1.417067e-01	-2.672939e-02	-9.488106e-07	-1.000000e-02	-1.039402e-06
4.345200000000000e-10	1.417067e-01	-2.688003e-02	-9.488106e-07	-1.000000e-02	-1.029577e-06
4.345600000000000e-10	1.417067e-01	-2.757863e-02	-9.488106e-07	-1.000000e-02	-9.862332e-07
4.346400000000000e-10	1.417067e-01	-3.025443e-02	-9.488106e-07	-1.000000e-02	-8.325777e-07
4.347000000000000e-10	1.417067e-01	-3.315295e-02	-9.488106e-07	-1.000000e-02	-6.784343e-07
4.347160000000000e-10	1.417067e-01	-3.411304e-02	-9.488106e-07	-1.000000e-02	-6.358072e-07
4.347480000000000e-10	1.417067e-01	-3.586120e-02	-9.488106e-07	-1.000000e-02	-5.643031e-07
4.348120000000000e-10	1.417067e-01	-3.851863e-02	-9.488106e-07	-1.000000e-02	-4.685838e-07
4.349400000000000e-10	1.417067e-01	-4.180722e-02	-9.488106e-07	-1.000000e-02	-3.656998e-07
4.350000000000000e-10	1.417067e-01	-4.250769e-02	-9.488106e-07	-1.000000e-02	-3.457486e-07
4.354644571428571e-10	1.417067e-01	-4.155467e-02	-9.488106e-07	-1.000000e-02	-3.715442e-07
4.359289142857143e-10	1.417067e-01	-4.062609e-02	-9.488106e-07	-1.000000e-02	-3.984793e-07
4.363933714285715e-10	1.417067e-01	-3.972192e-02	-9.488106e-07	-1.000000e-02	-4.265540e-07
4.368578285714287e-10	1.417067e-01	-3.884219e-02	-9.488106e-07	-1.000000e-02	-4.557683e-07
