time	V(compout)	V(input)
0.000000000000000e+00	1.417064e-01	2.779785e-04
2.580300000000000e-09	1.417064e-01	2.779785e-04
2.580390000000000e-09	1.417064e-01	-1.015331e-03
2.580570000000000e-09	1.417064e-01	-6.485258e-03
2.580930000000000e-09	1.417064e-01	-2.666253e-02
2.581200000000000e-09	1.417064e-01	-4.820863e-02
2.581272000000000e-09	1.417064e-01	-5.570323e-02
2.581416000000000e-09	1.417064e-01	-7.038751e-02
2.581704000000000e-09	1.417064e-01	-9.828287e-02
2.582280000000000e-09	1.417064e-01	-1.482008e-01
2.583432000000000e-09	1.417064e-01	-2.257338e-01
2.585735999999999e-09	1.417064e-01	-3.143081e-01
2.588600000000000e-09	1.417064e-01	-3.520431e-01
2.590100000000000e-09	1.417064e-01	-3.273920e-01
2.590120000000000e-09	1.417064e-01	-3.274196e-01
2.590160000000000e-09	1.417064e-01	-3.282471e-01
2.590240000000000e-09	1.417064e-01	-3.323875e-01
2.590300000000000e-09	1.417064e-01	-3.372261e-01
2.590412000000000e-09	1.417064e-01	-3.485938e-01
2.590540000000000e-09	1.417064e-01	-3.587834e-01
2.590796000000000e-09	1.417064e-01	-3.712131e-01
2.591200000000000e-09	1.417064e-01	-3.792877e-01
2.592057142857143e-09	1.417064e-01	-3.642700e-01
2.592914285714286e-09	1.417064e-01	-3.497473e-01
2.593771428571429e-09	1.417064e-01	-3.357194e-01
2.594628571428571e-09	1.417064e-01	-3.221864e-01
2.595485714285714e-09	1.417064e-01	-3.091483e-01
2.596342857142857e-09	1.417064e-01	-2.966051e-01
2.597200000000000e-09	1.417064e-01	-2.845567e-01
2.597340000000000e-09	1.417064e-01	-2.843074e-01
2.597620000000000e-09	1.417064e-01	-2.874398e-01
2.598180000000000e-09	1.417064e-01	-3.053017e-01
2.598600000000000e-09	1.417064e-01	-3.267238e-01
2.598712000000000e-09	1.417064e-01	-3.365885e-01
2.598936000000000e-09	1.417064e-01	-3.603281e-01
2.599384000000000e-09	1.417064e-01	-4.250187e-01
2.600100000000000e-09	1.417064e-01	-5.542885e-01
2.600160000000000e-09	1.417064e-01	-5.644225e-01
2.600240000000000e-09	1.417064e-01	-5.719464e-01
2.600300000000000e-09	1.417064e-01	-5.741301e-01
2.601042857142857e-09	1.417064e-01	-5.543977e-01
2.601785714285715e-09	1.417064e-01	-5.352489e-01
2.602528571428572e-09	1.417064e-01	-5.166835e-01
2.603271428571429e-09	1.417064e-01	-4.987017e-01
2.604014285714286e-09	1.417064e-01	-4.813033e-01
2.604757142857143e-09	1.417064e-01	-4.644885e-01
2.605500000000000e-09	1.417064e-01	-4.482571e-01
2.605570000000000e-09	1.417064e-01	-4.483669e-01
2.605710000000000e-09	1.417064e-01	-4.521342e-01
2.605990000000000e-09	1.417064e-01	-4.710491e-01
2.606200000000000e-09	1.417064e-01	-4.931466e-01
2.606368000000000e-09	1.417064e-01	-5.114707e-01
2.606592000000000e-09	1.417064e-01	-5.247592e-01
2.606800000000000e-09	1.417064e-01	-5.290158e-01
2.606920000000000e-09	1.417064e-01	-5.288720e-01
2.607080000000000e-09	1.417064e-01	-5.334223e-01
2.607200000000000e-09	1.417064e-01	-5.395705e-01
2.607424000000000e-09	1.417064e-01	-5.541316e-01
2.607680000000000e-09	1.417064e-01	-5.650629e-01
2.608192000000000e-09	1.417064e-01	-5.745673e-01
2.608600000000000e-09	1.417064e-01	-5.733410e-01
2.610800000000000e-09	1.417064e-01	-5.169793e-01
2.610920000000000e-09	1.417064e-01	-5.162691e-01
2.611080000000000e-09	1.417064e-01	-5.189633e-01
2.611200000000000e-09	1.417064e-01	-5.230843e-01
2.611814285714286e-09	1.417064e-01	-5.539600e-01
2.612428571428571e-09	1.417064e-01	-5.831829e-01
2.613042857142857e-09	1.417064e-01	-6.107531e-01
2.613657142857143e-09	1.417064e-01	-6.366706e-01
2.614271428571429e-09	1.417064e-01	-6.609354e-01
2.614885714285714e-09	1.417064e-01	-6.835474e-01
2.615500000000000e-09	1.417064e-01	-7.045068e-01
2.615710000000000e-09	1.417064e-01	-7.079063e-01
2.615990000000000e-09	1.417065e-01	-7.071695e-01
2.616200000000000e-09	1.417065e-01	-7.035840e-01
2.616256000000000e-09	1.417065e-01	-7.031326e-01
2.616368000000000e-09	1.417065e-01	-7.053568e-01
2.616592000000001e-09	1.417065e-01	-7.205803e-01
2.616800000000000e-09	1.417065e-01	-7.440441e-01
2.616920000000000e-09	1.417065e-01	-7.582058e-01
2.617080000000000e-09	1.417065e-01	-7.676745e-01
2.617200000000000e-09	1.417065e-01	-7.693460e-01
2.617557142857143e-09	1.417065e-01	-7.566563e-01
2.617914285714286e-09	1.417065e-01	-7.441534e-01
2.618271428571429e-09	1.417065e-01	-7.318374e-01
2.618628571428571e-09	1.417065e-01	-7.197082e-01
2.618985714285714e-09	1.417065e-01	-7.077658e-01
2.619342857142857e-09	1.417065e-01	-6.960102e-01
2.619700000000000e-09	1.417065e-01	-6.844414e-01
2.619810000000000e-09	1.417065e-01	-6.827176e-01
2.620030000000000e-09	1.417065e-01	-6.832253e-01
2.620470000000000e-09	1.417065e-01	-6.968975e-01
2.620800000000000e-09	1.417065e-01	-7.159274e-01
2.620920000000000e-09	1.417065e-01	-7.229603e-01
2.621080000000000e-09	1.417065e-01	-7.266971e-01
2.621200000000000e-09	1.417065e-01	-7.262461e-01
2.621780571428572e-09	1.417065e-01	-7.070567e-01
2.622361142857143e-09	1.417065e-01	-6.884842e-01
2.622941714285715e-09	1.417065e-01	-6.705286e-01
2.623522285714286e-09	1.417065e-01	-6.531898e-01
2.624102857142858e-09	1.417065e-01	-6.364679e-01
2.624683428571430e-09	1.417065e-01	-6.203629e-01
2.625264000000001e-09	1.417065e-01	-6.048747e-01
2.629100000000000e-09	1.417065e-01	-5.063651e-01
2.629160000000000e-09	1.417065e-01	-5.059465e-01
2.629280000000000e-09	1.417065e-01	-5.071973e-01
2.629520000000000e-09	1.417065e-01	-5.164018e-01
2.629700000000000e-09	1.417065e-01	-5.279676e-01
2.629844000000000e-09	1.417065e-01	-5.389350e-01
2.630036000000000e-09	1.417065e-01	-5.478789e-01
2.630420000000000e-09	1.417065e-01	-5.551502e-01
2.630500000000000e-09	1.417065e-01	-5.547463e-01
2.630800000000000e-09	1.417065e-01	-5.473503e-01
2.631016000000000e-09	1.417065e-01	-5.425134e-01
2.631232000000000e-09	1.417065e-01	-5.381975e-01
2.631448000000000e-09	1.417065e-01	-5.344024e-01
2.631664000000000e-09	1.417065e-01	-5.311282e-01
2.631880000000001e-09	1.417065e-01	-5.283749e-01
2.632096000000000e-09	1.417065e-01	-5.261424e-01
2.632312000000001e-09	1.417065e-01	-5.244308e-01
2.633100000000000e-09	1.417065e-01	-5.196361e-01
2.633250000000000e-09	1.417065e-01	-5.188297e-01
2.633600000000000e-09	1.417065e-01	-5.138719e-01
2.633810000000000e-09	1.417065e-01	-5.112010e-01
2.633900000000000e-09	1.417065e-01	-5.108389e-01
2.634068000000000e-09	1.417065e-01	-5.109794e-01
2.634260000000000e-09	1.417065e-01	-5.106416e-01
2.634644000000000e-09	1.417065e-01	-5.083864e-01
2.635412000000001e-09	1.417065e-01	-4.997074e-01
2.636000000000000e-09	1.417065e-01	-4.902268e-01
2.636090000000000e-09	1.417065e-01	-4.896945e-01
2.636210000000000e-09	1.417065e-01	-4.913029e-01
2.636300000000000e-09	1.417065e-01	-4.938475e-01
2.636468000000000e-09	1.417065e-01	-4.995328e-01
2.636660000000000e-09	1.417065e-01	-5.021421e-01
2.637000000000000e-09	1.417065e-01	-5.016894e-01
2.637800000000000e-09	1.417065e-01	-4.844920e-01
2.637820000000000e-09	1.417065e-01	-4.843783e-01
2.637860000000000e-09	1.417065e-01	-4.848413e-01
2.637940000000000e-09	1.417065e-01	-4.879892e-01
2.638000000000000e-09	1.417065e-01	-4.918998e-01
2.638157142857143e-09	1.417065e-01	-5.083707e-01
2.638314285714286e-09	1.417065e-01	-5.262552e-01
2.638471428571429e-09	1.417065e-01	-5.455533e-01
2.638628571428572e-09	1.417065e-01	-5.662649e-01
2.638785714285714e-09	1.417065e-01	-5.883900e-01
2.638942857142857e-09	1.417065e-01	-6.119287e-01
2.639100000000000e-09	1.417065e-01	-6.368809e-01
